[2018-08-16T17:31:48.086644-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:31:56.486469-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:32:10.967047-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:32:30.139791-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:32:37.530199-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:32:44.136881-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:32:49.987613-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:32:53.725693-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:33:41.990787-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":68} []
[2018-08-16T17:35:43.580481-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":68} []
[2018-08-16T17:44:16.526451-03:00] System.ERROR: Undefined index: valor {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\public\\_utils\\ajax_perfil.php","Line":33} []
[2018-08-16T17:50:43.140424-03:00] System.ERROR: Array to string conversion {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\_includes\\menu.php","Line":41} []
